,0,1,2,3
81,2018-12-18 16:37:06+00:00,WacoPolice,"When you move to Texas, you'll need to transfer your out-of-state driver's license to the state within 90 days of establishing residency. You'll need to visit your local TX DPS office in person with various documents and payment for the driver's license fee.",
82,2018-12-13 22:45:28+00:00,WacoPolice,"As Law Enforcement agencies across the United States have, Waco PD has responded to multiple emailed bomb threats to locations in our area. At this time the threats do not appear to be credible. We advise our... https://www.facebook.com/410404492341446/posts/1892848564097024/",
83,2018-12-02 01:54:50+00:00,WacoPolice,You are from Texas. That perceived logic is extremely understandable.,
84,2018-11-29 23:52:01+00:00,WacoPolice,Update to Standoff Our Street Crimes Unit and The US Marshal Task Force which includes members from other agencies were doing a secondary search on the house on Chestnut Street. They located the wanted person... https://www.facebook.com/410404492341446/posts/1874040445977836/,
85,2018-11-29 22:50:59+00:00,WacoPolice,"Standoff Resolved At this point, the standoff situation has been resolved. The individual was not inside the home. That being said, we consider the security of our community, the suspect and our officers a... https://www.facebook.com/410404492341446/posts/1873989962649551/",
86,2018-11-27 23:04:04+00:00,WacoPolice,"This afternoon shortly before 2:30 pm, Waco Officers were attempting to serve a Parole Violation Warrant on Tommy Sandoval. It was reported that Sandoval was in a room at the Astro Motel located in the 3400... https://www.facebook.com/WacoPoliceDepartment/posts/1871390582909489",
87,2018-11-27 00:36:03+00:00,WacoPolice,"Children Located. In reference to the call at Miss Nellies Pretty Place in Cameron Park, the children have been located and are safe. They were located in the Bell County area with the assistance of the Bell... https://www.facebook.com/410404492341446/posts/1870169369698277/",
88,2018-11-26 23:53:15+00:00,WacoPolice,"**PLEASE SHARE** Possible Child Endangerment The following is limited as we are just beginning this investigation. However, due to the potential danger to children we are immediately releasing this information.... https://www.facebook.com/410404492341446/posts/1870134489701765/",
89,2018-11-23 02:04:35+00:00,WacoPolice,Missing Person Located Our missing person Mr. Pate has been located. He has safe and no longer listed as a missing person. A community member spotted him at the WhataBurger on Valley Mills Drive. Officers... https://www.facebook.com/410404492341446/posts/1865171226864758/,
90,2018-11-20 01:23:27+00:00,WacoPolice,***Traffic Update*** The intersection of University Parks Dr and S 3rd St has reopened after an extensive crash investigation. Thank you all and have a wonderful evening! Ofc Bynum,
91,2018-11-19 20:19:35+00:00,WacoPolice,***AVOID THE AREA*** Please avoid the area of S University Parks Dr and S 3rd St. Officers are currently on the scene working a traffic crash and have advised that the roads will be closed for several hours as a result of the crash. Thank you in advance. Ofc Bynum,
92,2018-11-16 00:26:41+00:00,WacoPolice,Missing Person Located Ms. Gonzales has been located and she is safe. A citizen saw her and called Police. She was located in the 300 Blk of University Parks Drive. Officers are escorting her home and... https://www.facebook.com/410404492341446/posts/1856492981065916/,
93,2018-11-15 23:35:28+00:00,WacoPolice,**Missing Elderly Person Alert** We are currently searching for the following Missing Elderly Person. 69-year-old Maria Gonzales walked away from a home in the 2600 block of Grim about 4:15 this afternoon.... https://www.facebook.com/410404492341446/posts/1856452494403298/,
94,2018-11-13 20:33:05+00:00,WacoPolice,"This morning about 10:30am, Sheriff Deputies located an abandoned vehicle by the Twin Bridges near Lake Waco. The body of a male linked to the abandoned vehicle was reported in the water at Woodway Park 2... https://www.facebook.com/WacoPoliceDepartment/posts/1853881234660424",
95,2018-11-10 13:36:02+00:00,WacoPolice,https://www.facebook.com/story.php?story_fbid=1849841948397686&amp;id=410404492341446,
96,2018-11-08 18:32:37+00:00,WacoPolice,We are looking for new applicants. See our webpage for additional information. https://www.waco-texas.com/police/police-employment.asp,
97,2018-11-02 21:20:34+00:00,WacoPolice,Early this morning at 1:35 am Waco Fire and Waco PD officers responded to 1218 Webster on a house fire. It was reported that several children were still in the house when first responders arrived. Waco Fire... https://www.facebook.com/410404492341446/posts/1840299072685307/,
98,2018-10-18 00:04:46+00:00,WacoPolice,Mr. Square has been located in the South Waco area. He is being checked by medical staff and then will be returned home. He is safe. Thank you for your assistance. Sgt. Swanton,
